companyId,functionaryId,position,beginDate,endDate,typePosition
3,55,DIRECTOR,2010-04-01,2013-03-24,DIRECTORIO
3,56,DIRECTOR,2013-03-25,2016-07-11,DIRECTORIO
3,57,,2015-10-01,,GERENTE GENERAL
3,58,GERENTE GENERAL ADJUNTO,2011-04-19,2012-02-29,GERENTE GENERAL
3,58,GERENTE GENERAL,2012-01-01,2015-09-30,GERENTE GENERAL
3,59,GTE CTAL PLAN. Y LOGISTICA,2002-07-31,2005-01-21,PLANA GERENCIAL
3,59,GERENTE CENTRAL DE MANUFACTURA,2005-01-21,2009-06-30,PLANA GERENCIAL
3,59,VICEPRES. SUPPLY CHAIN CORP.,2009-07-01,,PLANA GERENCIAL
3,60,GERENTE DIVISION VENTAS,2005-10-04,2009-06-30,PLANA GERENCIAL
3,60,VICEPRES.NEG.PRODUC.INDUST.,2009-07-01,2011-08-09,PLANA GERENCIAL
3,60,VICEPRES.CONSUMO MSVO.PERU,2011-08-09,2013-01-31,PLANA GERENCIAL
3,61,VICEPRES.MKT.CORP.CONS.MSVO,2009-07-01,2011-08-09,PLANA GERENCIAL
3,61,VICEPRES.NEG.PRODUC.INDUST.,2011-08-09,2016-04-01,PLANA GERENCIAL
3,62,GTE DE NEGOCIO NUTRICION ANIMA,2002-07-31,2009-06-30,PLANA GERENCIAL
3,62,VICEPRES.NEG.NUTRIC.ANIMAL,2009-07-01,2014-06-30,PLANA GERENCIAL
3,63,VICEPRES.CORP.MATERIAS PRIMAS,2017-05-01,,PLANA GERENCIAL
3,64,VICEPRES.CONS.MSVO.MERCOSUR,2009-07-01,2012-06-30,PLANA GERENCIAL
3,64,VICEPRES. CONSUMO MASIVO INT.,2012-07-01,2017-03-31,PLANA GERENCIAL
3,65,GERENTE CENTRAL DE NEGOCIO INT,2006-03-09,2009-06-30,PLANA GERENCIAL
3,65,VICEPRES.CONS.MSVO AND.CAM,2009-07-01,2012-06-30,PLANA GERENCIAL
3,66,VICE PRE CON MASIVO PERU,2014-05-05,,PLANA GERENCIAL
3,67,VICEPRESIDENTE CORP. FINANZAS,2015-11-18,,PLANA GERENCIAL
3,68,GTE RRHH Y RELAC. INSTIT.,2002-07-31,2009-06-30,PLANA GERENCIAL
3,68,VICEPRES. RR.HH. CORPORATIVO,2009-07-01,2013-07-31,PLANA GERENCIAL
3,46,GERENTE CENTRAL DE VENTAS,2005-01-21,2006-01-01,PLANA GERENCIAL
3,69,VICEPRES. CONSUMO MSVO. PERU,2009-07-01,2011-08-09,PLANA GERENCIAL
3,70,REPRESENTANTE BURSATIL,2006-02-21,2006-02-21,PLANA GERENCIAL
3,57,GE.CENTRAL FINAN.ADMIN.Y SIST.,2005-09-01,2009-06-30,PLANA GERENCIAL
3,57,GERENTE GENERAL ADJUNTO,2015-06-01,2015-09-30,PLANA GERENCIAL
3,50,REPRESENTANTE BURSATIL,2003-02-03,2006-02-21,PLANA GERENCIAL
3,71,VICEPRES.FINAN.ADM.SIST.CORP.,2011-04-19,2015-05-15,PLANA GERENCIAL
3,72,VICEPRES.MKT.CORP.CSMO.MASIVO,2011-08-09,2014-07-31,PLANA GERENCIAL
3,72,VICE PRE PLAN ESTRATEGICO,2015-01-01,2014-07-31,PLANA GERENCIAL
3,73,VICEPRESIDENTA DE RR.HH. CORP.,2013-08-01,,PLANA GERENCIAL
3,58,GTE CENTRAL NEGOCIO HARINAS,2002-07-31,2005-05-12,PLANA GERENCIAL
3,58,GTE CENTRAL DE NEG PRODUC IND,2005-05-12,2009-06-30,PLANA GERENCIAL
3,58,VICEPRES.FINAN.ADM.SIST.CORP.,2009-07-01,2011-04-19,PLANA GERENCIAL
3,74,VICEPRESIDENTE NEGOCIO B2B,2016-04-01,,PLANA GERENCIAL
3,75,GERENTE NEG. HELADOS,2004-06-01,2009-06-30,PLANA GERENCIAL
3,75,COUNTRY MANAGER COLOMBIA,2009-07-01,2011-08-09,PLANA GERENCIAL
3,57,,2016-04-13,,REPRESENTANTE LEGAL
4,76,DIRECTOR,2010-03-22,2011-03-23,DIRECTORIO
4,76,DIRECTOR,2011-03-23,2011-12-07,DIRECTORIO
4,77,DIRECTOR,2002-04-04,2010-03-22,DIRECTORIO
4,77,DIRECTOR,2010-03-22,2010-06-30,DIRECTORIO
4,78,DIRECTOR,2016-03-22,,DIRECTORIO
4,79,DIRECTOR,2011-12-07,2014-03-28,DIRECTORIO
4,79,DIRECTOR,2014-03-28,2015-03-30,DIRECTORIO
4,80,VICEPRESIDENTE DEL DIRECTORIO,2010-06-30,2011-03-23,DIRECTORIO
4,80,VICEPRESIDENTE DEL DIRECTORIO,2011-03-23,2011-12-07,DIRECTORIO
4,81,PRESIDENTE DEL DIRECTORIO,2001-03-20,2010-03-22,DIRECTORIO
4,81,PRESIDENTE DEL DIRECTORIO,2010-03-22,2010-04-20,DIRECTORIO
4,81,DIRECTOR,2010-04-20,2010-04-20,DIRECTORIO
4,81,PRESIDENTE DEL DIRECTORIO,2010-04-20,2011-03-23,DIRECTORIO
4,81,PRESIDENTE DEL DIRECTORIO,2011-03-23,2011-12-07,DIRECTORIO
4,82,DIRECTOR,2009-07-15,2010-03-22,DIRECTORIO
4,82,DIRECTOR,2010-03-22,2011-03-23,DIRECTORIO
4,82,DIRECTOR,2011-03-23,2011-12-07,DIRECTORIO
4,83,DIRECTOR,2015-03-30,2016-03-22,DIRECTORIO
4,84,DIRECTOR,2011-12-07,2014-03-28,DIRECTORIO
4,84,DIRECTOR,2014-03-28,2015-03-30,DIRECTORIO
4,85,DIRECTOR,2011-12-07,2014-03-28,DIRECTORIO
4,85,DIRECTOR,2014-03-28,2015-03-30,DIRECTORIO
4,85,DIRECTOR,2015-03-30,2016-03-22,DIRECTORIO
4,85,DIRECTOR,2016-03-22,,DIRECTORIO
4,86,DIRECTOR,2011-12-07,2014-03-28,DIRECTORIO
4,86,DIRECTOR,2014-03-28,2015-03-30,DIRECTORIO
4,86,DIRECTOR,2015-03-30,2016-03-22,DIRECTORIO
4,86,DIRECTOR,2016-03-22,,DIRECTORIO
4,87,DIRECTOR,2010-03-22,2011-03-23,DIRECTORIO
4,87,DIRECTOR,2011-03-23,2011-12-07,DIRECTORIO
4,88,DIRECTOR,2017-03-29,,DIRECTORIO
4,89,DIRECTOR,2010-03-22,2011-03-23,DIRECTORIO
4,89,DIRECTOR,2011-03-23,2011-12-07,DIRECTORIO
4,90,DIRECTOR,2016-03-22,2016-12-31,DIRECTORIO
4,91,DIRECTOR,2016-03-22,,DIRECTORIO
4,92,DIRECTOR,2011-12-07,2014-03-28,DIRECTORIO
4,92,DIRECTOR,2014-03-28,2015-03-30,DIRECTORIO
4,92,DIRECTOR,2015-03-30,2015-12-16,DIRECTORIO
4,93,DIRECTOR,2011-12-07,2014-03-28,DIRECTORIO
4,93,DIRECTOR,2014-03-28,2015-03-30,DIRECTORIO
4,93,DIRECTOR,2015-03-30,2016-03-22,DIRECTORIO
4,94,DIRECTOR,2010-03-22,2011-03-23,DIRECTORIO
4,94,DIRECTOR,2011-03-23,2011-12-07,DIRECTORIO
4,95,DIRECTOR,2016-03-22,2016-09-08,DIRECTORIO
4,96,PRESIDENTE DEL DIRECTORIO,2011-12-07,2014-03-28,DIRECTORIO
4,96,PRESIDENTE DEL DIRECTORIO,2014-03-28,2015-03-30,DIRECTORIO
4,96,PRESIDENTE DEL DIRECTORIO,2015-03-30,2016-03-22,DIRECTORIO
4,96,PRESIDENTE DEL DIRECTORIO,2016-03-22,,DIRECTORIO
4,97,DIRECTOR,2000-04-04,2004-03-19,DIRECTORIO
4,78,GERENTE GENERAL,2012-12-03,,GERENTE GENERAL
4,98,GERENTE GENERAL ADJUNTO,2010-11-15,2011-12-07,GERENTE GENERAL
4,99,GERENTE LEGAL Y OPERACIONES,2001-04-27,2008-01-02,PLANA GERENCIAL
4,99,REPRESENTANTE BURSATIL,2003-03-04,2003-03-04,PLANA GERENCIAL
4,99,GERENTE LEGAL ADM. RRHH IMAGEN,2008-01-02,2010-06-30,PLANA GERENCIAL
4,100,GERENTE DE RIESGOS INTERINO,2011-11-08,2012-07-13,PLANA GERENCIAL
4,101,GERENTE FINANZAS,2003-07-24,2012-01-16,PLANA GERENCIAL
4,102,GTE PRODUCTOS Y SERVICIOS ADJ,2011-04-01,2012-05-28,PLANA GERENCIAL
4,103,GTE. PLANEAMIENTO Y DESARROLLO,2008-07-01,2012-01-31,PLANA GERENCIAL
4,104,GERENTE DE RIESGOS,2010-01-05,2011-11-07,PLANA GERENCIAL
4,105,SUB GERENTE,2009-11-16,2011-09-15,PLANA GERENCIAL
4,106,GERENTE COMERCIAL,2004-08-17,2008-01-02,PLANA GERENCIAL
4,106,GERENTE DE NEGOCIOS,2008-01-02,2011-01-21,PLANA GERENCIAL
4,107,SUB GERENTE COMERCIAL,2004-08-17,2004-12-03,PLANA GERENCIAL
4,108,INTERINO DE GERENCIA DE RIESGO,2012-07-16,2016-06-20,PLANA GERENCIAL
4,109,GERENTE OPERACIONES,2012-02-28,2012-12-11,PLANA GERENCIAL
4,78,,2012-12-03,,REPRESENTANTE LEGAL
5,110,DIRECTOR INDEPENDIENTE,2011-12-12,2012-03-28,DIRECTORIO
5,110,DIRECTOR INDEPENDIENTE,2012-03-28,2015-03-31,DIRECTORIO
5,110,DIRECTOR INDEPENDIENTE,2015-03-31,,DIRECTORIO
5,111,DIRECTOR,2012-03-29,2015-03-31,DIRECTORIO
5,111,DIRECTOR INDEPENDIENTE,2015-03-31,2017-03-30,DIRECTORIO
5,112,DIRECTOR INDEPENDIENTE,2011-12-12,2012-03-28,DIRECTORIO
5,112,DIRECTOR,2012-03-02,2012-03-02,DIRECTORIO
5,112,VICEPRESIDENTE DEL DIRECTORIO,2012-03-02,2012-03-28,DIRECTORIO
5,112,VICEPRESIDENTE DEL DIRECTORIO,2012-03-28,2015-03-31,DIRECTORIO
5,112,DIRECTOR INDEPENDIENTE,2012-03-28,2015-03-31,DIRECTORIO
5,112,VICEPRESIDENTE DEL DIRECTORIO,2015-03-31,,DIRECTORIO
5,112,DIRECTOR INDEPENDIENTE,2015-03-31,2015-03-31,DIRECTORIO
5,113,DIRECTOR,2010-09-03,2012-03-28,DIRECTORIO
5,113,DIRECTOR,2012-03-28,2015-03-31,DIRECTORIO
5,113,DIRECTOR,2015-03-31,2015-05-29,DIRECTORIO
5,113,PRESIDENTE DEL DIRECTORIO,2015-05-29,,DIRECTORIO
5,114,DIRECTOR,2010-09-03,2012-03-29,DIRECTORIO
5,114,DIRECTOR,2012-03-28,2012-03-28,DIRECTORIO
5,114,DIRECTOR,2015-03-31,2015-03-31,DIRECTORIO
5,115,DIRECTOR,2015-05-29,,DIRECTORIO
5,116,PRESIDENTE DEL DIRECTORIO,2010-09-03,2012-03-28,DIRECTORIO
5,116,PRESIDENTE DEL DIRECTORIO,2012-03-28,2015-03-31,DIRECTORIO
5,116,PRESIDENTE DEL DIRECTORIO,2015-03-31,2015-05-25,DIRECTORIO
5,117,DIRECTOR,2010-09-03,2012-03-28,DIRECTORIO
5,117,DIRECTOR,2012-03-28,2015-03-31,DIRECTORIO
5,117,DIRECTOR,2015-03-31,,DIRECTORIO
5,118,DIRECTOR,2010-09-03,2012-03-28,DIRECTORIO
5,118,DIRECTOR,2012-03-28,2015-03-31,DIRECTORIO
5,118,DIRECTOR,2015-03-31,,DIRECTORIO
5,119,DIRECTOR,2010-09-03,2012-03-29,DIRECTORIO
5,119,DIRECTOR,2012-03-28,2012-03-28,DIRECTORIO
5,119,DIRECTOR,2015-03-31,2015-03-31,DIRECTORIO
5,120,GERENTE GENERAL,2005-07-11,,GERENTE GENERAL
5,121,AUDITOR INTERNO,2012-01-26,2012-04-24,PLANA GERENCIAL
5,121,AUDITOR INTERNO,2012-05-02,,PLANA GERENCIAL
5,122,GERENTE FINANCIERO,2012-04-01,2014-12-01,PLANA GERENCIAL
5,123,GERENTE FINANCIERO,2011-12-12,2012-04-01,PLANA GERENCIAL
5,123,GERENTE FINANCIERO,2016-03-09,,PLANA GERENCIAL
5,124,GERENTE DE DESARROLLO DE NEG.,2011-12-12,,PLANA GERENCIAL
5,125,GERENTE DE ADMINISTRACION,2011-12-12,2014-12-31,PLANA GERENCIAL
5,126,GERENTE FINANCIERO,2014-12-01,2016-03-09,PLANA GERENCIAL
5,127,GERENTE DE ASUNTOS CORPORATIVO,2011-12-12,,PLANA GERENCIAL
5,120,,2005-07-16,,REPRESENTANTE LEGAL
6,128,DIRECTOR ALTERNO,2004-12-11,2005-04-18,DIRECTORIO
6,129,DIRECTOR,2001-05-23,2003-05-28,DIRECTORIO
6,130,DIRECTOR,2003-05-28,2005-04-18,DIRECTORIO
6,131,DIRECTOR,2004-11-10,2006-06-14,DIRECTORIO
6,131,PRESIDENTE DEL DIRECTORIO,2006-06-14,2008-04-10,DIRECTORIO
6,132,DIRECTOR,2000-08-11,2003-01-06,DIRECTORIO
6,132,DIRECTOR EJECUTIVO,2003-01-06,2004-01-13,DIRECTORIO
6,6,DIRECTOR,2005-04-18,2008-04-10,DIRECTORIO
6,6,DIRECTOR,2008-04-10,2011-04-15,DIRECTORIO
6,6,DIRECTOR,2011-04-15,2014-04-09,DIRECTORIO
6,6,DIRECTOR,2014-04-09,2017-04-10,DIRECTORIO
6,6,DIRECTOR,2017-04-10,,DIRECTORIO
6,133,DIRECTOR ALTERNO,2004-12-11,2006-06-09,DIRECTORIO
6,134,DIRECTOR,2004-11-09,2004-11-15,DIRECTORIO
6,134,PRESIDENTE DEL DIRECTORIO,2004-11-15,2006-06-14,DIRECTORIO
6,135,DIRECTOR ALTERNO,2004-12-11,2006-06-09,DIRECTORIO
6,136,DIRECTOR,2006-06-22,2008-12-02,DIRECTORIO
6,137,DIRECTOR,2004-11-15,2005-04-18,DIRECTORIO
6,138,DIRECTOR,2000-08-11,2004-11-15,DIRECTORIO
6,139,DIRECTORA ALTERNA,2005-04-18,2006-06-09,DIRECTORIO
6,140,DIRECTOR,2004-11-09,2006-06-13,DIRECTORIO
6,141,DIRECTOR,2008-04-10,2011-04-15,DIRECTORIO
6,141,DIRECTOR,2011-04-15,2014-04-09,DIRECTORIO
6,141,DIRECTOR,2014-04-09,2017-04-10,DIRECTORIO
6,141,DIRECTOR,2017-04-10,,DIRECTORIO
6,142,DIRECTOR,2005-08-09,2008-04-10,DIRECTORIO
6,142,DIRECTOR,2008-04-10,2011-04-15,DIRECTORIO
6,142,DIRECTOR,2011-04-15,2014-04-09,DIRECTORIO
6,142,DIRECTOR,2014-04-09,2017-04-10,DIRECTORIO
6,142,DIRECTOR,2017-04-10,,DIRECTORIO
6,143,DIRECTOR ALTERNO,2005-04-18,2005-10-07,DIRECTORIO
6,144,PRESIDENTE DEL DIRECTORIO,2004-11-08,2004-11-15,DIRECTORIO
6,144,DIRECTOR,2004-11-15,2004-12-11,DIRECTORIO
6,144,VICEPRESIDENTE DEL DIRECTORIO,2004-12-11,2006-06-09,DIRECTORIO
6,145,DIRECTOR,2006-06-13,2008-04-10,DIRECTORIO
6,145,DIRECTOR,2008-04-10,2010-03-11,DIRECTORIO
6,145,PRESIDENTE DEL DIRECTORIO,2010-03-11,2011-04-15,DIRECTORIO
6,145,PRESIDENTE DEL DIRECTORIO,2011-04-15,2014-04-09,DIRECTORIO
6,145,PRESIDENTE DEL DIRECTORIO,2014-04-09,2017-04-10,DIRECTORIO
6,145,PRESIDENTE DEL DIRECTORIO,2017-04-10,,DIRECTORIO
6,146,DIRECTOR,2008-04-10,2008-04-10,DIRECTORIO
6,147,PRESIDENTE DEL DIRECTORIO,2008-04-10,2010-02-23,DIRECTORIO
6,148,DIRECTOR,2004-11-08,2006-04-07,DIRECTORIO
6,149,DIRECTOR,2004-11-10,2008-04-10,DIRECTORIO
6,150,DIRECTOR ALTERNO,2004-12-11,2005-04-18,DIRECTORIO
6,151,DIRECTOR,2000-08-11,2000-09-15,DIRECTORIO
6,152,DIRECTOR,2003-04-14,2004-01-14,DIRECTORIO
6,153,DIRECTOR,2000-08-11,2002-09-25,DIRECTORIO
6,154,DIRECTOR ALTERNO,2004-12-11,2006-06-09,DIRECTORIO
6,155,DIRECTOR ALTERNO,2004-12-11,2006-06-09,DIRECTORIO
6,155,DIRECTOR,2006-06-13,2008-04-10,DIRECTORIO
6,155,DIRECTOR,2008-04-10,2011-04-15,DIRECTORIO
6,155,DIRECTOR,2011-04-15,2014-04-09,DIRECTORIO
6,155,DIRECTOR,2014-04-09,2017-04-10,DIRECTORIO
6,155,DIRECTOR,2017-04-10,,DIRECTORIO
6,156,DIRECTOR,2005-04-18,2005-12-20,DIRECTORIO
6,139,GERENTE GENERAL,2005-10-07,,GERENTE GENERAL
6,143,GERENTE GENERAL,2003-01-15,2005-10-07,GERENTE GENERAL
6,157,CONTADOR GENERAL,2004-03-20,2004-03-20,PLANA GERENCIAL
6,158,GERENTE DE FLOTA,2007-04-18,,PLANA GERENCIAL
6,159,GERENTE OPERACIONES,2008-01-09,2013-04-24,PLANA GERENCIAL
6,160,GTE. ADMINISTRATIVO FINANCIERO,2005-09-15,2007-03-19,PLANA GERENCIAL
6,160,GTE ADMINISTRACION Y FINANZAS,2007-03-19,2011-03-16,PLANA GERENCIAL
6,161,GERENTE FINANCIERO,2012-11-29,,PLANA GERENCIAL
6,162,GERENTE ADM. Y FINANZAS,2003-01-27,2005-09-16,PLANA GERENCIAL
6,163,GTE. ADMINIST. Y FINANZAS,2011-08-18,2012-11-28,PLANA GERENCIAL
6,139,REPRESENTANTE BURSATIL,2003-02-21,2003-02-21,PLANA GERENCIAL
6,139,GERENTE LEGAL,2005-10-07,2007-03-19,PLANA GERENCIAL
6,139,GERENTE RRHH,2005-10-07,2007-03-19,PLANA GERENCIAL
6,140,MIEMBRO COMITE EJECUTIVO,2005-02-11,2006-06-13,PLANA GERENCIAL
6,164,GERENTE OPERACIONES,2008-01-09,2013-04-24,PLANA GERENCIAL
6,165,GERENTE DE RECURSOS HUMANOS,2008-01-09,,PLANA GERENCIAL
6,144,MIEMBRO COMITE EJECUTIVO,2006-04-07,2006-06-09,PLANA GERENCIAL
6,166,GTE. NEGOC. CONSUM HUMANO PROD,2005-10-07,2007-03-19,PLANA GERENCIAL
6,166,GERENTE DE OPERACIONES,2007-03-19,2007-09-04,PLANA GERENCIAL
6,167,GERENTE DE FLOTA,2005-03-31,2007-02-09,PLANA GERENCIAL
6,168,CONTROLLER,2013-09-10,2015-08-17,PLANA GERENCIAL
6,148,MIEMBRO COMITE EJECUTIVO,2005-02-11,2006-04-07,PLANA GERENCIAL
6,169,GTE. DE COMERCIALIZACION HYAP,2007-01-12,2007-03-19,PLANA GERENCIAL
6,169,GERENTE DE COMERCIALIZACION,2007-03-19,2013-04-24,PLANA GERENCIAL
6,170,GERENTE CENTRAL DE OPERACIONES,2013-04-24,,PLANA GERENCIAL
6,171,GERENTE DE COMERCIALIZACIÓN,2004-03-23,2005-09-16,PLANA GERENCIAL
6,172,GTE DE GESTION RIESGOS Y CALID,2007-03-19,2013-01-21,PLANA GERENCIAL
6,155,MIEMBRO COMITE EJECUTIVO,2005-02-11,2006-06-13,PLANA GERENCIAL
6,173,CONTROLLER,2005-02-01,2013-09-09,PLANA GERENCIAL
7,174,DIRECTOR,2010-03-01,2010-03-29,DIRECTORIO
7,174,DIRECTOR,2010-03-29,2011-01-26,DIRECTORIO
7,175,PRESIDENTE DEL DIRECTORIO,2015-01-20,2016-03-22,DIRECTORIO
7,176,DIRECTOR,2013-03-30,2013-09-24,DIRECTORIO
7,176,VICEPRESIDENTE DEL DIRECTORIO,2013-09-24,2014-05-23,DIRECTORIO
7,177,DIRECTOR,2014-05-23,2015-04-01,DIRECTORIO
7,178,DIRECTOR,2011-08-10,2012-03-27,DIRECTORIO
7,178,DIRECTOR,2012-03-27,2013-03-30,DIRECTORIO
7,179,DIRECTOR,2015-06-01,2016-03-30,DIRECTORIO
7,179,DIRECTOR,2016-03-30,2017-03-24,DIRECTORIO
7,179,DIRECTOR,2017-03-24,,DIRECTORIO
7,180,DIRECTOR,2014-05-23,2014-06-03,DIRECTORIO
7,180,VICEPRESIDENTE DEL DIRECTORIO,2014-06-03,2015-03-13,DIRECTORIO
7,181,DIRECTOR,2007-03-28,2008-03-13,DIRECTORIO
7,181,DIRECTOR,2008-03-13,2010-03-29,DIRECTORIO
7,181,DIRECTOR,2010-03-29,2011-03-28,DIRECTORIO
7,181,PRESIDENTE DEL DIRECTORIO,2011-03-28,2012-03-27,DIRECTORIO
7,181,PRESIDENTE DEL DIRECTORIO,2012-03-27,2013-03-30,DIRECTORIO
